dept,spec,pilot_dept,week_date,month_date,week_num,month_num,month_name,pilot_dept_wk_compl,pilot_dept_mo_compl,spec_wk_compl,spec_mo_compl,spec_p,dept_p
FB CARDIOLOGY,Cardiology,Pilot,2025-03-03,2025-03-01,9,3,Mar,77.35849056603774,81.43459915611815,81.25,88.57142857142857,Cardiology*,FB CARDIOLOGY*
FB CARDIOTHORACIC SURGERY,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,FB CARDIOTHORACIC SURGERY
FB COLON RECTAL SURG,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,FB COLON RECTAL SURG
FB DERMATOLOGY,Dermatology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,74.35897435897436,77.39130434782608,Dermatology,FB DERMATOLOGY
FB GENERAL SURGERY,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,FB GENERAL SURGERY
FB GER PALLIATIVE CARE,Geri/Palliative Care,Pilot,2025-03-03,2025-03-01,9,3,Mar,77.35849056603774,81.43459915611815,85.71428571428571,70.37037037037037,Geri/Palliative Care*,FB GER PALLIATIVE CARE*
FB GI & LIVER DISEASES,Gastroenterology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,100,84.78260869565217,Gastroenterology,FB GI & LIVER DISEASES
FB HEM ONC,Hematology/Oncology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,66.66666666666666,83.33333333333334,Hematology/Oncology,FB HEM ONC
FB ID,Infectious Disease,Pilot,2025-03-03,2025-03-01,9,3,Mar,77.35849056603774,81.43459915611815,77.77777777777779,80.72289156626506,Infectious Disease*,FB ID*
FB MFM,Obstetrics/Gynecology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,92.72727272727272,83.11688311688312,Obstetrics/Gynecology,FB MFM
FB MIDWIFERY,Obstetrics/Gynecology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,92.72727272727272,83.11688311688312,Obstetrics/Gynecology,FB MIDWIFERY
FB NEPHROLOGY,Nephrology (FB),Pilot,2025-03-03,2025-03-01,9,3,Mar,77.35849056603774,81.43459915611815,100,78.94736842105263,Nephrology (FB)*,FB NEPHROLOGY*
FB NEUROLOGY,Neurology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,93.75,90.9090909090909,Neurology,FB NEUROLOGY
FB NEUROSURGERY,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,FB NEUROSURGERY
FB OB/GYN,Obstetrics/Gynecology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,92.72727272727272,83.11688311688312,Obstetrics/Gynecology,FB OB/GYN
FB OPHTHALMOLOGY,Ophthalmology,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,50,61.29032258064516,Ophthalmology,FB OPHTHALMOLOGY
FB ORTHOPAEDIC SURG,Surgery,Non-Pilot,2025-03-03,2025-03-01,9,3,Mar,83.90022675736961,82.60623229461757,81.1881188118812,78.72807017543859,Surgery,FB ORTHOPAEDIC SURG
